Reach,Ingoings,Outgoings,Split Ratio,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,BMPs
20,10 14 20_0,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20_0,,20,,102.32783,76.20749899999998,84.02857580100004,130.967578,101.99015580000008,98.52816596999998,144.73831999999993,96.4368121,139.50381399999992,91.04657199999997,60.07772338349997,114.00584700000002,95.39533899999998,102.89869958819997,54.131527000000006,99.78342469999996,103.48813100000001,61.65389899999991,107.18579400000004,78.81650096720006,102.38680899999997,76.00801040720006,81.226675,56.624833000000024,57.92198666500002,95.19371099999995,76.36938199999997,69.6954996,113.42004400000002,83.28256280000005,119.77719600000006,72.8099339,37.417713920800026,68.83872159999996,66.99005519999997,69.24850670999993,31.78781400000001,62.29918090000001,63.075386700000024,37.39665570000005,67.21812900000003,47.00218929999997,67.61123629999997,44.34676367569999, BMP26_20 BMP27_20 BMP28_20 BMP29_20 BMP30_20 BMP31_20 BMP32_20 BMP33_20 BMP34_20
21,,23,,387.1512,301.05235,386.00483328,463.65012,352.66926950000004,336.2353476,460.2466,382.04267100000004,451.2315,335.58072999999996,328.2429725047,402.3805,387.56281999999993,408.6175556521,314.00505499999997,415.307199,375.58896999999996,332.46128999999996,420.35020000000003,320.94459,444.61364,369.32110235999994,341.7406,244.82691,296.2990364,427.61316999999997,312.52382300000005,274.75291999999996,433.78159999999997,385.76482,468.461,317.63749,273.8652321289,344.02114,351.35252,387.72585158000004,264.2024,377.74622999999997,330.98741,265.10290000000003,355.942,268.27515900000003,460.26792,281.1135946492, BMP26_21 BMP27_21 BMP28_21 BMP29_21 BMP30_21 BMP31_21 BMP32_21 BMP33_21 BMP34_21
22,11 13 22_0,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22_0,,22,,180.173295,100.43018740317999,249.81595318700005,383.7714462,331.48170500000003,806.7160690000002,387.654993,474.30784100000005,495.82519819999993,499.23002799999995,244.684134,524.8075318000001,265.28330259999996,389.83252809000004,98.06955081429999,263.98448451570005,340.6150828,98.98387514999999,1025.6482019999999,225.163418751,449.722272,66.64999416890001,231.8251517,85.13012921880998,199.27050752099998,368.8865870999999,394.4008738,771.6266721000002,346.127952,438.2812765000001,482.8505657999999,694.7628490000002,300.7811588,445.9078897,279.28573960000006,382.5005576,118.31655917999997,253.70503179577003,325.15598220000015,100.39142823487,1009.1413590000001,280.75632128,477.60008500000004,65.33210765129999, BMP26_22 BMP27_22 BMP28_22 BMP29_22 BMP30_22 BMP31_22 BMP32_22 BMP33_22 BMP34_22
23,21 23_0,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23_0,,23,,18.63829999999996,13.696709999999996,13.124338819999991,20.028520000000015,18.59887959999992,18.61316640000001,23.487099999999998,17.28165200000001,29.047410000000013,14.350820000000056,9.88843210440001,22.995780000000025,18.64660000000009,19.123305060999996,9.918168000000037,20.42318199999994,21.300910000000044,11.42494000000005,22.01690999999994,17.572458299999937,20.55373000000003,13.92919368470001,19.218889000000047,12.77119879999998,10.633134600000062,17.64417210000005,17.867612899999983,15.471512200000063,23.68354700000009,17.312466400000062,29.164684000000022,14.912938199999985,9.177490436799985,20.161611100000016,20.386689599999954,19.256576638999945,7.886830000000032,18.717522099999996,20.806407899999954,8.801821999999959,21.904856999999993,18.804245699999967,21.23750259999997,12.755806978999999, BMP26_23 BMP27_23 BMP28_23 BMP29_23 BMP30_23 BMP31_23 BMP32_23 BMP33_23 BMP34_23
24,1 17 24_0,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24_0,,24,,174.3301899999999,156.87190999999996,164.68856285999993,209.48373000000004,197.62354000000005,214.25410499999998,214.01880740000013,204.83589999999992,248.3043399999999,190.85037999999997,125.42491647840001,183.20139476900005,196.03572119999995,174.00907945999984,108.01632894110003,229.5213,191.59630800000002,120.36747872999996,229.0157099999999,140.13241520000003,238.76130210000008,138.18252115999996,143.07890199999997,120.34811100000002,112.49666580000007,151.65368299999994,142.77452900000014,146.35583900000006,160.23410099999984,161.646951,200.57824100000005,147.12073900000019,77.07016605270002,110.2047738,127.21856159999999,104.80760752499998,60.39456116774002,142.24731400000002,115.84257480000008,73.10621240999996,149.45680899999996,83.05141990000004,180.9133539,80.31263509999994, BMP26_24 BMP27_24 BMP28_24 BMP29_24 BMP30_24 BMP31_24 BMP32_24 BMP33_24 BMP34_24
25,19 24 25_0,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25_0,,25,,91.5074800000001,83.70069590000003,72.46505506000017,113.0444,93.0340799999999,136.65499,122.30732999999987,140.23992999999996,162.06279999999992,114.30145000000016,78.03679063000016,112.29102199999988,148.00904360000015,126.68067363399996,69.97704836759999,135.23152000000005,145.85819100000003,71.61239,146.77567999999997,104.49181099999998,167.56580400000007,80.75630350000006,65.5036080000001,58.884455,45.56456530000003,70.4567370000002,56.52799099999993,80.32231200000001,78.84237500000006,101.385899,115.27379899999983,80.12040799999977,53.545625199999904,73.5570929999999,110.35107839999989,81.2507397999999,45.38045017309997,87.52616699999999,92.13690419999989,53.078328,99.09468000000015,68.43573409999999,130.45095510000021,57.02313500000008, BMP26_25 BMP27_25 BMP28_25 BMP29_25 BMP30_25 BMP31_25 BMP32_25 BMP33_25 BMP34_25
26,20 23 26_0,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26_0,,26,,37.62939999999992,28.21168,24.66874172000007,54.22243000000003,46.260528900000054,48.4419190000001,53.84879999999998,29.231386999999927,77.31705000000011,44.376010000000065,20.162584398900094,50.61044000000004,38.68211999999994,51.97121430490006,23.91298699999993,45.88486200000011,44.74666000000002,25.745300000000157,74.83331999999996,50.59635811899989,46.740729999999985,27.594558034199963,27.991945999999984,18.93696419999992,15.079459799999995,37.65358289999995,38.75621009999986,34.636828199999854,36.24385899999993,21.005686799999808,60.4952659999999,45.94096790000003,14.850652537200006,32.29683330000012,28.369479200000114,37.73489202000019,19.215074999999956,32.21496900000011,28.97665840000002,16.982750299999964,57.411888999999974,43.952920000000006,36.71163210000009,17.30724223029995, BMP26_26 BMP27_26 BMP28_26 BMP29_26 BMP30_26 BMP31_26 BMP32_26 BMP33_26 BMP34_26
27,4 5 27_0,45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
