BMPs,Cost,P_LB,N_LB,P_UB,N_UB
BMP27_32,218889000.0,15.73718895937248,14.922299630223923,15.73718895937248,14.922299630223923
BMP28_32,107454600.0,43.63992428653015,17.655935464885392,43.63992428653015,17.655935464885392
BMP29_32,99495000.0,45.02696995316599,21.58011883007596,45.02696995316599,21.58011883007596
BMP30_32,59697000.0,34.12132339924169,7.0508154720655245,34.12132339924169,7.0508154720655245
BMP31_32,99495000.0,17.517230898221808,17.332291476003697,17.517230898221808,17.332291476003697
BMP32_32,99495000.0,33.93060462007926,6.99880125956668,33.93060462007926,6.99880125956668
BMP33_32,19899000.0,5.837150513759164,5.773577587371689,5.837150513759164,5.773577587371689
BMP34_32,139293000.0,36.958987658900845,12.125090869174977,36.958987658900845,12.125090869174977
BMP26_33,8807568.0,3.484824464457195,4.676409603916752,3.484824464457195,4.676409603916752
BMP27_33,242208120.0,12.244099376408958,11.610086151262552,12.244099376408958,11.610086151262552
BMP28_33,118902168.0,33.953431653053265,13.736953211505458,33.953431653053265,13.736953211505458
BMP29_33,110094600.0,35.032603100110975,16.79010909713957,35.032603100110975,16.79010909713957
BMP30_33,66056760.0,26.547617597619713,5.4857881892100355,26.547617597619713,5.4857881892100355
BMP31_33,110094600.0,13.629036066799687,13.485146540525324,13.629036066799687,13.485146540525324
BMP32_33,110094600.0,26.39923152364928,5.4453192599453715,26.39923152364928,5.4453192599453715
BMP33_33,22018920.0,4.541513173034538,4.492051148377726,4.541513173034538,4.492051148377726
BMP34_33,154132440.0,28.755422516391953,9.433757066362832,28.755422516391953,9.433757066362832
BMP21_34,7195035.0,10.922986580055928,6.084951428159011,10.922986580055928,6.084951428159011
BMP22_34,71950350.0,1.5046123066895913,0.28540528101110113,1.5046123066895913,0.28540528101110113
BMP23_34,79145385.0,18.49592476455437,9.950391884571497,18.49592476455437,9.950391884571497
BMP24_34,191867600.0,17.509475443778136,10.64866499927827,17.509475443778136,10.64866499927827
BMP25_34,11991725.0,2.920555011511656,2.9150131613949357,2.920555011511656,2.9150131613949357
BMP26_35,252912.0,4.184411021067982,5.615209628271873,4.184411021067982,5.615209628271873
BMP27_35,6955080.0,14.702130594023375,13.940837750190362,14.702130594023375,13.940837750190362
BMP28_35,3414312.0,40.76966144527011,16.49467828304863,40.76966144527011,16.49467828304863
BMP29_35,3161400.0,42.065479051794384,20.1607622615069,42.065479051794384,20.1607622615069
BMP30_35,1896840.0,31.877113120497246,6.587072833165081,31.877113120497246,6.587072833165081
BMP31_35,3161400.0,16.365096522396197,16.192320841526293,16.365096522396197,16.192320841526293
BMP32_35,3161400.0,31.69893819960016,6.538479672920421,31.69893819960016,6.538479672920421
BMP33_35,632280.0,5.453232427456338,5.393840787157309,5.453232427456338,5.393840787157309
BMP34_35,4425960.0,34.52813997384484,11.327605577033067,34.52813997384484,11.327605577033067
BMP26_36,1439328.0,3.73860151065428,5.016962027200582,3.73860151065428,5.016962027200582
BMP27_36,39581520.0,13.135757307756908,12.455573032915291,13.135757307756908,12.455573032915291
BMP28_36,19430928.0,36.42603871864576,14.737325954901708,36.42603871864576,14.737325954901708
BMP29_36,17991600.0,37.58379918646128,18.01282327842978,37.58379918646128,18.01282327842978
BMP30_36,10794960.0,28.48090750826176,5.885282378062221,28.48090750826176,5.885282378062221
BMP31_36,17991600.0,14.621549908120157,14.467181845744754,14.621549908120157,14.467181845744754
